#Format: HPO-ID<tab>HPO-Name<tab>Gene-ID<tab>Gene-Name
HP:0000878	11 pairs of ribs	126792	B3GALT6
HP:0025074	Abnormal QRS complex	79188	TMEM43
HP:0031547	Abnormal QT interval	9992	KCNE2
HP:0031547	Abnormal QT interval	781	CACNA2D1
HP:0031547	Abnormal QT interval	6736	SRY
HP:0031547	Abnormal QT interval	2778	GNAS
HP:0009124	Abnormal adipose tissue morphology	7486	WRN
HP:0009124	Abnormal adipose tissue morphology	126792	B3GALT6
HP:0009124	Abnormal adipose tissue morphology	5506	PPP1R3A
HP:0009124	Abnormal adipose tissue morphology	4607	MYBPC3
HP:0006919	Abnormal aggressive, impulsive or violent behavior	6660	SOX5
HP:0006919	Abnormal aggressive, impulsive or violent behavior	288	ANK3
HP:0006919	Abnormal aggressive, impulsive or violent behavior	54820	NDE1
HP:0006919	Abnormal aggressive, impulsive or violent behavior	5932	RBBP8
HP:0006919	Abnormal aggressive, impulsive or violent behavior	1917	EEF1A2
HP:0006919	Abnormal aggressive, impulsive or violent behavior	55180	LINS1
HP:0006919	Abnormal aggressive, impulsive or violent behavior	57492	ARID1B
HP:0006919	Abnormal aggressive, impulsive or violent behavior	79813	EHMT1
HP:0006919	Abnormal aggressive, impulsive or violent behavior	6899	TBX1
HP:0012116	Abnormal albumin level	23534	TNPO3
HP:0012116	Abnormal albumin level	9652	TTC37
HP:0012116	Abnormal albumin level	51128	SAR1B
HP:0012400	Abnormal aldolase level	1605	DAG1
HP:0004307	Abnormal anatomic location of the heart	78987	CRELD1
HP:0004307	Abnormal anatomic location of the heart	1954	MEGF8
HP:0004307	Abnormal anatomic location of the heart	10084	PQBP1
HP:0004307	Abnormal anatomic location of the heart	79600	TCTN1
HP:0006802	Abnormal anterior horn cell morphology	7443	VRK1
HP:0012303	Abnormal aortic arch morphology	78987	CRELD1
HP:0012303	Abnormal aortic arch morphology	6899	TBX1
HP:0001679	Abnormal aortic morphology	6736	SRY
HP:0001679	Abnormal aortic morphology	613	BCR
HP:0001679	Abnormal aortic morphology	78987	CRELD1
HP:0001679	Abnormal aortic morphology	2189	FANCG
HP:0001679	Abnormal aortic morphology	6899	TBX1
HP:0001679	Abnormal aortic morphology	10516	FBLN5
HP:0001679	Abnormal aortic morphology	57697	FANCM
HP:0001679	Abnormal aortic morphology	3949	LDLR
HP:0001679	Abnormal aortic morphology	79813	EHMT1
HP:0001679	Abnormal aortic morphology	2006	ELN
HP:0001679	Abnormal aortic morphology	9184	BUB3
HP:0001679	Abnormal aortic morphology	4091	SMAD6
HP:0031567	Abnormal aortic valve cusp morphology	126792	B3GALT6
HP:0031567	Abnormal aortic valve cusp morphology	6736	SRY
HP:0031567	Abnormal aortic valve cusp morphology	2006	ELN
HP:0031567	Abnormal aortic valve cusp morphology	1909	EDNRA
HP:0031567	Abnormal aortic valve cusp morphology	4091	SMAD6
HP:0001646	Abnormal aortic valve morphology	126792	B3GALT6
HP:0001646	Abnormal aortic valve morphology	6736	SRY
HP:0001646	Abnormal aortic valve morphology	57697	FANCM
HP:0001646	Abnormal aortic valve morphology	1909	EDNRA
HP:0001646	Abnormal aortic valve morphology	2189	FANCG
HP:0001646	Abnormal aortic valve morphology	2006	ELN
HP:0001646	Abnormal aortic valve morphology	6899	TBX1
HP:0001646	Abnormal aortic valve morphology	4091	SMAD6
HP:0031652	Abnormal aortic valve physiology	10516	FBLN5
HP:0031652	Abnormal aortic valve physiology	126792	B3GALT6
HP:0031652	Abnormal aortic valve physiology	613	BCR
HP:0031652	Abnormal aortic valve physiology	3949	LDLR
HP:0031652	Abnormal aortic valve physiology	9652	TTC37
HP:0031652	Abnormal aortic valve physiology	10682	EBP
HP:0031652	Abnormal aortic valve physiology	79813	EHMT1
HP:0031652	Abnormal aortic valve physiology	2006	ELN
HP:0031652	Abnormal aortic valve physiology	9184	BUB3
HP:0031652	Abnormal aortic valve physiology	4091	SMAD6
HP:0011844	Abnormal appendicular skeleton morphology	112752	IFT43
HP:0011844	Abnormal appendicular skeleton morphology	8318	CDC45
HP:0011844	Abnormal appendicular skeleton morphology	10370	CITED2
HP:0011844	Abnormal appendicular skeleton morphology	2189	FANCG
HP:0011844	Abnormal appendicular skeleton morphology	57492	ARID1B
HP:0011844	Abnormal appendicular skeleton morphology	6305	SBF1
HP:0011844	Abnormal appendicular skeleton morphology	2254	FGF9
HP:0011844	Abnormal appendicular skeleton morphology	10516	FBLN5
HP:0011844	Abnormal appendicular skeleton morphology	57697	FANCM
HP:0011844	Abnormal appendicular skeleton morphology	10617	STAMBP
HP:0011844	Abnormal appendicular skeleton morphology	4488	MSX2
HP:0011844	Abnormal appendicular skeleton morphology	10682	EBP
HP:0011844	Abnormal appendicular skeleton morphology	6660	SOX5
HP:0011844	Abnormal appendicular skeleton morphology	6736	SRY
HP:0011844	Abnormal appendicular skeleton morphology	613	BCR
HP:0011844	Abnormal appendicular skeleton morphology	2778	GNAS
HP:0011844	Abnormal appendicular skeleton morphology	6899	TBX1
HP:0011844	Abnormal appendicular skeleton morphology	23394	ADNP
HP:0011844	Abnormal appendicular skeleton morphology	9150	CTDP1
HP:0011844	Abnormal appendicular skeleton morphology	9184	BUB3
HP:0011844	Abnormal appendicular skeleton morphology	23522	KAT6B
HP:0011844	Abnormal appendicular skeleton morphology	5130	PCYT1A
HP:0011844	Abnormal appendicular skeleton morphology	1123	CHN1
HP:0011844	Abnormal appendicular skeleton morphology	9321	TRIP11
HP:0011844	Abnormal appendicular skeleton morphology	9361	LONP1
HP:0011844	Abnormal appendicular skeleton morphology	7486	WRN
HP:0011844	Abnormal appendicular skeleton morphology	25939	SAMHD1
HP:0011844	Abnormal appendicular skeleton morphology	3561	IL2RG
HP:0011844	Abnormal appendicular skeleton morphology	7681	MKRN3
HP:0011844	Abnormal appendicular skeleton morphology	9775	EIF4A3
HP:0011844	Abnormal appendicular skeleton morphology	118429	ANTXR2
HP:0011844	Abnormal appendicular skeleton morphology	83696	TRAPPC9
HP:0011844	Abnormal appendicular skeleton morphology	79600	TCTN1
HP:0011844	Abnormal appendicular skeleton morphology	83737	ITCH
HP:0011844	Abnormal appendicular skeleton morphology	5932	RBBP8
HP:0011844	Abnormal appendicular skeleton morphology	126792	B3GALT6
HP:0011844	Abnormal appendicular skeleton morphology	57167	SALL4
HP:0011844	Abnormal appendicular skeleton morphology	10084	PQBP1
HP:0011844	Abnormal appendicular skeleton morphology	1908	EDN3
HP:0011844	Abnormal appendicular skeleton morphology	6049	RNF6
HP:0011844	Abnormal appendicular skeleton morphology	1954	MEGF8
HP:0011844	Abnormal appendicular skeleton morphology	81846	SBF2
HP:0011844	Abnormal appendicular skeleton morphology	79813	EHMT1
HP:0011844	Abnormal appendicular skeleton morphology	2006	ELN
HP:0011844	Abnormal appendicular skeleton morphology	51199	NIN
HP:0011994	Abnormal atrial septum morphology	613	BCR
HP:0011994	Abnormal atrial septum morphology	1130	LYST
HP:0011994	Abnormal atrial septum morphology	8318	CDC45
HP:0011994	Abnormal atrial septum morphology	10370	CITED2
HP:0011994	Abnormal atrial septum morphology	2189	FANCG
HP:0011994	Abnormal atrial septum morphology	9361	LONP1
HP:0011994	Abnormal atrial septum morphology	57492	ARID1B
HP:0011994	Abnormal atrial septum morphology	6899	TBX1
HP:0011994	Abnormal atrial septum morphology	126792	B3GALT6
HP:0011994	Abnormal atrial septum morphology	57167	SALL4
HP:0011994	Abnormal atrial septum morphology	57697	FANCM
HP:0011994	Abnormal atrial septum morphology	10084	PQBP1
HP:0011994	Abnormal atrial septum morphology	10617	STAMBP
HP:0011994	Abnormal atrial septum morphology	1954	MEGF8
HP:0011994	Abnormal atrial septum morphology	2006	ELN
HP:0011994	Abnormal atrial septum morphology	9184	BUB3
HP:0011994	Abnormal atrial septum morphology	23522	KAT6B
HP:0005150	Abnormal atrioventricular conduction	781	CACNA2D1
HP:0006705	Abnormal atrioventricular valve morphology	2006	ELN
HP:0006705	Abnormal atrioventricular valve morphology	6899	TBX1
HP:0031650	Abnormal atrioventricular valve physiology	6660	SOX5
HP:0031650	Abnormal atrioventricular valve physiology	10516	FBLN5
HP:0031650	Abnormal atrioventricular valve physiology	1837	DTNA
HP:0031650	Abnormal atrioventricular valve physiology	126792	B3GALT6
HP:0031650	Abnormal atrioventricular valve physiology	2006	ELN
HP:0031650	Abnormal atrioventricular valve physiology	3949	LDLR
HP:0012331	Abnormal autonomic nervous system morphology	126792	B3GALT6
HP:0012331	Abnormal autonomic nervous system morphology	57167	SALL4
HP:0012331	Abnormal autonomic nervous system morphology	57697	FANCM
HP:0012331	Abnormal autonomic nervous system morphology	1908	EDN3
HP:0012331	Abnormal autonomic nervous system morphology	2189	FANCG
HP:0012331	Abnormal autonomic nervous system morphology	79600	TCTN1
HP:0012331	Abnormal autonomic nervous system morphology	6899	TBX1
HP:0012332	Abnormal autonomic nervous system physiology	23534	TNPO3
HP:0009121	Abnormal axial skeleton morphology	8318	CDC45
HP:0009121	Abnormal axial skeleton morphology	57492	ARID1B
HP:0009121	Abnormal axial skeleton morphology	8516	ITGA8
HP:0009121	Abnormal axial skeleton morphology	57697	FANCM
HP:0009121	Abnormal axial skeleton morphology	4488	MSX2
HP:0009121	Abnormal axial skeleton morphology	613	BCR
HP:0009121	Abnormal axial skeleton morphology	4729	NDUFV2
HP:0009121	Abnormal axial skeleton morphology	811	CALR
HP:0009121	Abnormal axial skeleton morphology	283489	CHAMP1
HP:0009121	Abnormal axial skeleton morphology	9150	CTDP1
HP:0009121	Abnormal axial skeleton morphology	9184	BUB3
HP:0009121	Abnormal axial skeleton morphology	5119	CHMP1A
HP:0009121	Abnormal axial skeleton morphology	5130	PCYT1A
HP:0009121	Abnormal axial skeleton morphology	1123	CHN1
HP:0009121	Abnormal axial skeleton morphology	9321	TRIP11
HP:0009121	Abnormal axial skeleton morphology	9361	LONP1
HP:0009121	Abnormal axial skeleton morphology	9526	MPDU1
HP:0009121	Abnormal axial skeleton morphology	25939	SAMHD1
HP:0009121	Abnormal axial skeleton morphology	79188	TMEM43
HP:0009121	Abnormal axial skeleton morphology	9652	TTC37
HP:0009121	Abnormal axial skeleton morphology	1536	CYBB
HP:0009121	Abnormal axial skeleton morphology	54820	NDE1
HP:0009121	Abnormal axial skeleton morphology	9775	EIF4A3
HP:0009121	Abnormal axial skeleton morphology	1605	DAG1
HP:0009121	Abnormal axial skeleton morphology	5723	PSPH
HP:0009121	Abnormal axial skeleton morphology	83696	TRAPPC9
HP:0009121	Abnormal axial skeleton morphology	79600	TCTN1
HP:0009121	Abnormal axial skeleton morphology	83737	ITCH
HP:0009121	Abnormal axial skeleton morphology	5932	RBBP8
HP:0009121	Abnormal axial skeleton morphology	1861	TOR1A
HP:0009121	Abnormal axial skeleton morphology	10084	PQBP1
HP:0009121	Abnormal axial skeleton morphology	1909	EDNRA
HP:0009121	Abnormal axial skeleton morphology	1917	EEF1A2
HP:0009121	Abnormal axial skeleton morphology	55180	LINS1
HP:0009121	Abnormal axial skeleton morphology	6049	RNF6
HP:0009121	Abnormal axial skeleton morphology	1954	MEGF8
HP:0009121	Abnormal axial skeleton morphology	79813	EHMT1
HP:0009121	Abnormal axial skeleton morphology	2006	ELN
HP:0009121	Abnormal axial skeleton morphology	51199	NIN
HP:0009121	Abnormal axial skeleton morphology	10300	KATNB1
HP:0009121	Abnormal axial skeleton morphology	112752	IFT43
HP:0009121	Abnormal axial skeleton morphology	10370	CITED2
HP:0009121	Abnormal axial skeleton morphology	2189	FANCG
HP:0009121	Abnormal axial skeleton morphology	6305	SBF1
HP:0009121	Abnormal axial skeleton morphology	10516	FBLN5
HP:0009121	Abnormal axial skeleton morphology	6443	SGCB
HP:0009121	Abnormal axial skeleton morphology	80208	SPG11
HP:0009121	Abnormal axial skeleton morphology	6496	SIX3
HP:0009121	Abnormal axial skeleton morphology	10617	STAMBP
HP:0009121	Abnormal axial skeleton morphology	6575	SLC20A2
HP:0009121	Abnormal axial skeleton morphology	10682	EBP
HP:0009121	Abnormal axial skeleton morphology	51660	MPC1
HP:0009121	Abnormal axial skeleton morphology	6660	SOX5
HP:0009121	Abnormal axial skeleton morphology	113179	ADAT3
HP:0009121	Abnormal axial skeleton morphology	6687	SPG7
HP:0009121	Abnormal axial skeleton morphology	6736	SRY
HP:0009121	Abnormal axial skeleton morphology	2683	B4GALT1
HP:0009121	Abnormal axial skeleton morphology	2778	GNAS
HP:0009121	Abnormal axial skeleton morphology	2799	GNS
HP:0009121	Abnormal axial skeleton morphology	6899	TBX1
HP:0009121	Abnormal axial skeleton morphology	56262	LRRC8A
HP:0009121	Abnormal axial skeleton morphology	23522	KAT6B
HP:0009121	Abnormal axial skeleton morphology	60528	ELAC2
HP:0009121	Abnormal axial skeleton morphology	7341	SUMO1
HP:0009121	Abnormal axial skeleton morphology	7486	WRN
HP:0009121	Abnormal axial skeleton morphology	3426	CFI
HP:0009121	Abnormal axial skeleton morphology	100128927	ZBTB42
HP:0009121	Abnormal axial skeleton morphology	7546	ZIC2
HP:0009121	Abnormal axial skeleton morphology	3561	IL2RG
HP:0009121	Abnormal axial skeleton morphology	7681	MKRN3
HP:0009121	Abnormal axial skeleton morphology	118429	ANTXR2
HP:0009121	Abnormal axial skeleton morphology	3798	KIF5A
HP:0009121	Abnormal axial skeleton morphology	3908	LAMA2
HP:0009121	Abnormal axial skeleton morphology	126792	B3GALT6
HP:0009121	Abnormal axial skeleton morphology	57167	SALL4
HP:0009121	Abnormal axial skeleton morphology	81846	SBF2
HP:0012440	Abnormal biliary tract morphology	9361	LONP1
HP:0012440	Abnormal biliary tract morphology	23534	TNPO3
HP:0001892	Abnormal bleeding	5156	PDGFRA
HP:0001892	Abnormal bleeding	1130	LYST
HP:0001892	Abnormal bleeding	3257	HPS1
HP:0001892	Abnormal bleeding	2778	GNAS
HP:0001892	Abnormal bleeding	6899	TBX1
HP:0001892	Abnormal bleeding	811	CALR
HP:0001892	Abnormal bleeding	22852	ANKRD26
HP:0001892	Abnormal bleeding	80270	HSD3B7
HP:0001892	Abnormal bleeding	6575	SLC20A2
HP:0001892	Abnormal bleeding	2006	ELN
HP:0001892	Abnormal bleeding	23522	KAT6B
HP:0001892	Abnormal bleeding	4594	MUT
HP:0011849	Abnormal bone ossification	9321	TRIP11
HP:0011849	Abnormal bone ossification	112752	IFT43
HP:0011849	Abnormal bone ossification	2189	FANCG
HP:0011849	Abnormal bone ossification	9361	LONP1
HP:0011849	Abnormal bone ossification	10516	FBLN5
HP:0011849	Abnormal bone ossification	7486	WRN
HP:0011849	Abnormal bone ossification	57697	FANCM
HP:0011849	Abnormal bone ossification	80270	HSD3B7
HP:0011849	Abnormal bone ossification	10682	EBP
HP:0011849	Abnormal bone ossification	7681	MKRN3
HP:0011849	Abnormal bone ossification	6736	SRY
HP:0011849	Abnormal bone ossification	10892	MALT1
HP:0011849	Abnormal bone ossification	118429	ANTXR2
HP:0011849	Abnormal bone ossification	2778	GNAS
HP:0011849	Abnormal bone ossification	126792	B3GALT6
HP:0011849	Abnormal bone ossification	9150	CTDP1
HP:0011849	Abnormal bone ossification	2006	ELN
HP:0011849	Abnormal bone ossification	23534	TNPO3
HP:0003330	Abnormal bone structure	9321	TRIP11
HP:0003330	Abnormal bone structure	112752	IFT43
HP:0003330	Abnormal bone structure	2189	FANCG
HP:0003330	Abnormal bone structure	9361	LONP1
HP:0003330	Abnormal bone structure	10516	FBLN5
HP:0003330	Abnormal bone structure	7486	WRN
HP:0003330	Abnormal bone structure	57697	FANCM
HP:0003330	Abnormal bone structure	80270	HSD3B7
HP:0003330	Abnormal bone structure	10682	EBP
HP:0003330	Abnormal bone structure	7681	MKRN3
HP:0003330	Abnormal bone structure	6736	SRY
HP:0003330	Abnormal bone structure	10892	MALT1
HP:0003330	Abnormal bone structure	118429	ANTXR2
HP:0003330	Abnormal bone structure	2778	GNAS
HP:0003330	Abnormal bone structure	126792	B3GALT6
HP:0003330	Abnormal bone structure	9150	CTDP1
HP:0003330	Abnormal bone structure	2006	ELN
HP:0003330	Abnormal bone structure	9184	BUB3
HP:0003330	Abnormal bone structure	23534	TNPO3
HP:0012747	Abnormal brainstem MRI signal intensity	3908	LAMA2
HP:0011587	Abnormal branching pattern of the aortic arch	78987	CRELD1
HP:0011587	Abnormal branching pattern of the aortic arch	6899	TBX1
HP:0031093	Abnormal breast morphology	6736	SRY
HP:0031093	Abnormal breast morphology	7251	TSG101
HP:0031093	Abnormal breast morphology	8318	CDC45
HP:0031093	Abnormal breast morphology	57492	ARID1B
HP:0031093	Abnormal breast morphology	2778	GNAS
HP:0031093	Abnormal breast morphology	4361	MRE11
HP:0031093	Abnormal breast morphology	25913	POT1
HP:0031093	Abnormal breast morphology	7486	WRN
HP:0031093	Abnormal breast morphology	79719	AAGAB
HP:0031093	Abnormal breast morphology	1954	MEGF8
HP:0031093	Abnormal breast morphology	23522	KAT6B
HP:0031094	Abnormal breast physiology	2778	GNAS
HP:0025426	Abnormal bronchus morphology	79813	EHMT1
HP:0025426	Abnormal bronchus morphology	56262	LRRC8A
HP:0025426	Abnormal bronchus morphology	3561	IL2RG
HP:0009164	Abnormal calcification of the carpal bones	10682	EBP
HP:0005120	Abnormal cardiac atrium morphology	613	BCR
HP:0005120	Abnormal cardiac atrium morphology	1130	LYST
HP:0005120	Abnormal cardiac atrium morphology	8318	CDC45
HP:0005120	Abnormal cardiac atrium morphology	10370	CITED2
HP:0005120	Abnormal cardiac atrium morphology	2189	FANCG
HP:0005120	Abnormal cardiac atrium morphology	9361	LONP1
HP:0005120	Abnormal cardiac atrium morphology	57492	ARID1B
HP:0005120	Abnormal cardiac atrium morphology	6899	TBX1
HP:0005120	Abnormal cardiac atrium morphology	126792	B3GALT6
HP:0005120	Abnormal cardiac atrium morphology	57167	SALL4
HP:0005120	Abnormal cardiac atrium morphology	57697	FANCM
HP:0005120	Abnormal cardiac atrium morphology	10084	PQBP1
HP:0005120	Abnormal cardiac atrium morphology	10617	STAMBP
HP:0005120	Abnormal cardiac atrium morphology	1954	MEGF8
HP:0005120	Abnormal cardiac atrium morphology	2006	ELN
HP:0005120	Abnormal cardiac atrium morphology	9184	BUB3
HP:0005120	Abnormal cardiac atrium morphology	23522	KAT6B
HP:0001671	Abnormal cardiac septum morphology	613	BCR
HP:0001671	Abnormal cardiac septum morphology	1130	LYST
HP:0001671	Abnormal cardiac septum morphology	8318	CDC45
HP:0001671	Abnormal cardiac septum morphology	10370	CITED2
HP:0001671	Abnormal cardiac septum morphology	78987	CRELD1
HP:0001671	Abnormal cardiac septum morphology	2189	FANCG
HP:0001671	Abnormal cardiac septum morphology	9361	LONP1
HP:0001671	Abnormal cardiac septum morphology	57492	ARID1B
HP:0001671	Abnormal cardiac septum morphology	6899	TBX1
HP:0001671	Abnormal cardiac septum morphology	1837	DTNA
HP:0001671	Abnormal cardiac septum morphology	126792	B3GALT6
HP:0001671	Abnormal cardiac septum morphology	57167	SALL4
HP:0001671	Abnormal cardiac septum morphology	57697	FANCM
HP:0001671	Abnormal cardiac septum morphology	10084	PQBP1
HP:0001671	Abnormal cardiac septum morphology	10617	STAMBP
HP:0001671	Abnormal cardiac septum morphology	1954	MEGF8
HP:0001671	Abnormal cardiac septum morphology	9652	TTC37
HP:0001671	Abnormal cardiac septum morphology	79813	EHMT1
HP:0001671	Abnormal cardiac septum morphology	2006	ELN
HP:0001671	Abnormal cardiac septum morphology	9184	BUB3
HP:0001671	Abnormal cardiac septum morphology	23522	KAT6B
HP:0500015	Abnormal cardiac test	9992	KCNE2
HP:0500015	Abnormal cardiac test	781	CACNA2D1
HP:0500015	Abnormal cardiac test	3908	LAMA2
HP:0500015	Abnormal cardiac test	6736	SRY
HP:0500015	Abnormal cardiac test	79188	TMEM43
HP:0500015	Abnormal cardiac test	2778	GNAS
HP:0001713	Abnormal cardiac ventricle morphology	613	BCR
HP:0001713	Abnormal cardiac ventricle morphology	8318	CDC45
HP:0001713	Abnormal cardiac ventricle morphology	10370	CITED2
HP:0001713	Abnormal cardiac ventricle morphology	9361	LONP1
HP:0001713	Abnormal cardiac ventricle morphology	57492	ARID1B
HP:0001713	Abnormal cardiac ventricle morphology	2778	GNAS
HP:0001713	Abnormal cardiac ventricle morphology	6899	TBX1
HP:0001713	Abnormal cardiac ventricle morphology	57592	ZNF687
HP:0001713	Abnormal cardiac ventricle morphology	1837	DTNA
HP:0001713	Abnormal cardiac ventricle morphology	126792	B3GALT6
HP:0001713	Abnormal cardiac ventricle morphology	57167	SALL4
HP:0001713	Abnormal cardiac ventricle morphology	10084	PQBP1
HP:0001713	Abnormal cardiac ventricle morphology	3949	LDLR
HP:0001713	Abnormal cardiac ventricle morphology	10617	STAMBP
HP:0001713	Abnormal cardiac ventricle morphology	9652	TTC37
HP:0001713	Abnormal cardiac ventricle morphology	2006	ELN
HP:0001713	Abnormal cardiac ventricle morphology	9184	BUB3
HP:0001713	Abnormal cardiac ventricle morphology	23522	KAT6B
HP:0001713	Abnormal cardiac ventricle morphology	4091	SMAD6
HP:0030872	Abnormal cardiac ventricular function	3908	LAMA2
HP:0030872	Abnormal cardiac ventricular function	2006	ELN
HP:0030872	Abnormal cardiac ventricular function	3949	LDLR
HP:0005344	Abnormal carotid artery morphology	2189	FANCG
HP:0005344	Abnormal carotid artery morphology	2006	ELN
HP:0005344	Abnormal carotid artery morphology	57697	FANCM
HP:0005344	Abnormal carotid artery morphology	3949	LDLR
HP:0009145	Abnormal cerebral artery morphology	811	CALR
HP:0009145	Abnormal cerebral artery morphology	3949	LDLR
HP:0009145	Abnormal cerebral artery morphology	6575	SLC20A2
HP:0009145	Abnormal cerebral artery morphology	2006	ELN
HP:0000532	Abnormal chorioretinal morphology	1605	DAG1
HP:0000532	Abnormal chorioretinal morphology	57167	SALL4
HP:0000532	Abnormal chorioretinal morphology	1123	CHN1
HP:0000532	Abnormal chorioretinal morphology	6295	SAG
HP:0000532	Abnormal chorioretinal morphology	1181	CLCN2
HP:0000610	Abnormal choroid morphology	10516	FBLN5
HP:0000610	Abnormal choroid morphology	1605	DAG1
HP:0000610	Abnormal choroid morphology	57167	SALL4
HP:0000610	Abnormal choroid morphology	1123	CHN1
HP:0000610	Abnormal choroid morphology	6295	SAG
HP:0000610	Abnormal choroid morphology	1181	CLCN2
HP:0030347	Abnormal circulating androgen level	6736	SRY
HP:0025465	Abnormal circulating beta globulin level	7018	TF
HP:0025132	Abnormal circulating estrogen level	6736	SRY
HP:0025132	Abnormal circulating estrogen level	9150	CTDP1
HP:0030346	Abnormal circulating follicle-stimulating hormone level	6736	SRY
HP:0030338	Abnormal circulating gonadotropin level	6736	SRY
