transcript	gene	chr	n_exons	cds_start	cds_end	bp	mu_syn	mu_mis	mu_lof	n_syn	n_mis	n_lof	exp_syn	exp_mis	exp_lof	syn_z	mis_z	lof_z	pLI	pRec	pNull
ENST00000306077.4	TMEM43	3	12	14166693	14183295	1203	6.20623491916e-06	1.39783042729e-05	1.11801108687e-06	81	182	13	73.0844240797	159.2621116	17.2009059339	-0.57401045042565	-0.881273241695649	1.00336055542035	9.84762662149707e-08	0.520693071272873	0.479306830250861
ENST00000545947.1	DAG1	3	2	49547967	49570632	2688	1.32478438465e-05	3.06155915633e-05	1.08088176195e-06	166	307	1	150.93893	347.7191736	13.08480884	-0.759985918224443	1.06807399439693	3.30937301852726	0.940921791331691	0.0590301227780706	4.80858902388211e-05
ENST00000345716.4	NISCH	3	21	52489657	52526498	4515	2.91077521255e-05	5.75537674873e-05	2.51688760122e-06	322	491	7	329.801624075	645.122131998	36.1397915306	0.266321802467808	2.96797620478251	4.80157075067387	0.817101389344283	0.182898547141011	6.35147052661531e-08
ENST00000295756.6	TRAT1	3	6	108541774	108572724	561	1.80551985799e-06	4.91606149148e-06	6.58044919167e-07	29	72	2	22.9714883	58.2145813	9.97036378	-0.779767116897837	-0.883732047267899	2.50041642389079	0.486401716946783	0.50883095158136	0.00476733147185699
ENST00000337940.4	NR1I2	3	9	119501604	119536059	1422	6.47243139336e-06	1.64465439624e-05	9.07671051663e-07	92	195	8	72.0155090371	175.402124637	13.0558686289	-1.45992157600588	-0.723783318430078	1.38606187179804	0.000129416843964785	0.846347083052094	0.153523500103941
ENST00000402696.3	TF	3	17	133465284	133497464	2097	9.9783287483e-06	2.08420116263e-05	1.6037094978e-06	119	199	9	117.636338309	239.083314305	24.8043045475	-0.0779466900154158	1.26795924848252	3.14341430232178	0.00237226565881044	0.996916881861687	0.000710852479502163
ENST00000265594.4	MCCC1	3	19	182733225	182817228	2178	9.18070876514e-06	2.08185799778e-05	1.68149148282e-06	100	240	12	105.559825077	232.398888132	25.8736513058	0.335474351040631	-0.243879806998079	2.70179014642514	2.51105898766941e-05	0.99594563886363	0.00402925054649339
ENST00000265593.4	CLCN2	3	24	184064393	184079267	2697	1.36406876883e-05	3.40983263077e-05	2.42243041435e-06	172	328	17	158.04289455	377.115997794	35.3237589825	-0.688267394084592	1.23709196504581	3.05401244383602	2.26513810859121e-07	0.99881222888228	0.00118754460390946
ENST00000392456.3	CCDC50	3	12	191047463	191109549	1449	5.02457869866e-06	1.36633633059e-05	1.77275652342e-06	69	149	12	57.316332742	149.004613053	23.2600982517	-0.956730292621966	0.000184320819710766	2.31273626681128	9.33289305733199e-06	0.983794370595387	0.0161962965115559
ENST00000292823.2	PCYT1A	3	8	195965558	195997402	1104	5.18863094918e-06	1.19685947439e-05	1.23960486154e-06	62	112	5	62.141039	138.9594308	17.39775267	0.0110918113330375	1.11862032527104	2.94432731385128	0.0983000755796718	0.900125669501523	0.0015742549188052
ENST00000304374.2	DRD5	4	1	9783653	9785087	1434	1.15733298703e-05	2.13115292715e-05	6.42621942453e-07	101	224	16	131.5473	241.8831725	7.70013644	1.65113015508406	0.562417459154113	-2.9628621492981	2.52172129080646e-14	0.000655682425695765	0.999344317574279
ENST00000381897.1	RFC1	4	25	39290380	39367861	3447	1.14125191418e-05	2.95259127945e-05	2.84695225349e-06	151	333	10	135.472484272	334.440134638	41.2286031679	-0.827037922450447	0.0385167780101388	4.81773499136772	0.17548740360959	0.824512408750479	1.8763993059069e-07
ENST00000381431.5	SGCB	4	6	52890122	52904425	957	3.4904714314e-06	9.57455308208e-06	6.23074466621e-07	49	118	5	35.432502	102.6380403	8.73386049	-1.41302023685077	-0.741668992912766	1.25153971949552	0.00360015162466118	0.842001022146507	0.154398826228832
ENST00000381501.3	TEC	4	17	48139432	48230631	1896	6.30536550557e-06	1.61042127759e-05	2.03624290245e-06	88	152	10	75.9920631112	184.913987255	29.4301224588	-0.853952728615064	1.18389240146668	3.54788201167292	0.00257331126911319	0.997298588662125	0.000128100068762302
ENST00000257290.5	PDGFRA	4	22	55124935	55161439	3270	1.36856336763e-05	3.15339671254e-05	2.59015372479e-06	168	304	3	164.281201	366.506553	38.56710145	-0.179869844364073	1.5969869805858	5.67322045474807	0.999876729754594	0.000123270244871733	5.34267076338947e-13
ENST00000244869.2	EREG	4	5	75231025	75250525	510	2.19536309712e-06	4.98711706507e-06	5.32679897827e-07	26	70	6	26.0790360282	57.2690986527	8.0298371921	0.00959512487017453	-0.82283992186665	0.709573705739999	0.00040011069339593	0.633453519906714	0.36614636939989
ENST00000307333.7	ANTXR2	4	16	80898732	80993714	1470	5.53222740758e-06	1.38725570456e-05	1.47060326603e-06	58	133	4	54.5042433489	127.493942932	17.8847873914	-0.293545809740131	-0.238515061649103	3.25227294876403	0.405188748060346	0.594440676129883	0.000370575809771033
ENST00000394634.2	CFI	4	13	110662048	110723127	1752	6.04603428331e-06	1.52992062337e-05	1.81127290535e-06	89	202	12	73.3725689538	177.700629474	25.5674368929	-1.13101965927671	-0.891594907292547	2.65793225299957	2.2377327985363e-05	0.995231631213004	0.00474599145901114
ENST00000360771.4	GYPA	4	7	145032546	145061788	453	1.69441696802e-06	4.19212069401e-06	5.04429848652e-07	16	63	4	20.7710994979	47.46386249	8.08118959285	0.648990430794573	-1.10300651712115	1.42212837939189	0.0153129822194926	0.878762331941337	0.10592468583917
ENST00000324300.5	EDNRA	4	7	148406833	148463770	1284	4.87904548413e-06	1.21907294823e-05	8.73108993343e-07	53	65	0	57.5985451837	139.629470781	12.6525572907	0.375633747846732	3.08914579497414	3.52353748118643	0.986016088385212	0.0139772626332455	6.64898154269879e-06
ENST00000393593.3	IRF2	4	8	185309911	185350218	1050	5.33252774916e-06	1.19730920453e-05	8.71222598245e-07	61	70	3	63.771421	139.0104167	13.22390377	0.215148737141499	2.86290771581114	2.78500893342106	0.382047181106152	0.615781271630557	0.00217154726329099
ENST00000270349.9	SLC6A3	5	14	1394849	1443312	1863	1.35038623944e-05	2.45624532023e-05	1.59788401957e-06	151	157	1	145.753691496	262.356635875	21.2392223719	-0.269397013908859	3.18150216387646	4.35025048844275	0.99703690247797	0.00296306725675279	3.02652776186517e-08
ENST00000306320.9	FAM134B	5	9	16474849	16617080	1494	7.99832839974e-06	1.53758331871e-05	1.05686043417e-06	54	114	6	65.7922659186	136.964741321	13.9671974925	0.901279355172293	0.959782740309337	2.11174089677415	0.00565139603237414	0.971198145770552	0.0231504581970743
ENST00000274255.6	SKP2	5	10	36152364	36182133	1275	5.12872078041e-06	1.20682854484e-05	1.3479263955e-06	54	101	1	62.3004353	140.9271613	19.46324963	0.651936106048302	1.64508326494224	4.14562654480805	0.9942587612668	0.00574108654438025	1.5218881947319e-07
ENST00000313164.9	C7	5	18	40909712	40981675	2532	9.48441171553e-06	2.24887409452e-05	2.25658082575e-06	141	308	21	99.5530095631	228.523394148	28.577386095	-2.57522540964273	-2.57152308419845	1.40409928808189	1.26145650921317e-11	0.50794029347847	0.492059706508915
ENST00000379979.4	GLRX	5	2	95152216	95158366	321	1.57927572744e-06	3.16631440725e-06	2.61092749156e-07	13	30	5	18.731722	36.7132016	3.79642862	0.821004544568795	0.541919766880426	-0.611890769083076	0.000187398851916141	0.277796477278761	0.722016123869323
ENST00000358746.2	TTC37	5	40	94800310	94882854	4695	1.50264873673e-05	3.67980531941e-05	4.40979849338e-06	199	476	41	182.230403257	422.568361078	64.5313918474	-0.770125838028322	-1.27135294173434	2.9016951640924	7.99341870810084e-20	0.980894720699824	0.0191052793001758
ENST00000402673.2	SAR1B	5	6	133942639	133959709	597	2.17572989262e-06	5.06896167474e-06	7.08376147263e-07	21	54	5	25.9568439089	56.9788398814	10.0221522657	0.603154322606342	0.193021987636241	1.57144444625804	0.00630041605283772	0.910141255140546	0.0835583288066165
ENST00000302014.6	CD14	5	2	140011440	140012656	1128	1.01149853179e-05	1.76902575993e-05	4.05275490721e-07	68	141	6	115.389690605	201.159119439	5.33858186741	2.73495314151461	2.07466496286929	-0.283565133908415	6.68636589803062e-05	0.289637598561117	0.710295537779903
ENST00000414552.2	GABRG2	5	11	161495005	161580374	1548	5.91269299192e-06	1.49974304866e-05	1.38379556215e-06	67	77	2	65.8574243401	157.786124702	18.4889340669	-0.0872838137043231	3.14571045779682	3.79862429889716	0.958543398155425	0.0414525970013531	4.00484322195471e-06
ENST00000239243.6	MSX2	5	2	174151662	174156586	804	6.96416672212e-06	1.18359209696e-05	4.72632622299e-07	49	81	1	57.608841516	103.19194229	4.99743275436	0.703152397202704	1.06853352613994	1.77132130541339	0.42149241575751	0.544391297516308	0.0341162867261824
ENST00000283147.6	BMP6	6	7	7727188	7880576	1542	1.24965828689e-05	2.26733358067e-05	1.2952635115e-06	99	212	2	113.287033803	211.295881632	15.8238886769	0.832147787518465	-0.0236921932970437	3.44241553104105	0.895081718104266	0.104875894079622	4.2387816112151e-05
ENST00000309983.4	TPMT	6	8	18130898	18149358	738	2.43449851569e-06	6.25185358876e-06	7.57944237935e-07	26	77	8	30.936149	74.1875707	11.94043645	0.550179857099254	-0.159710157867985	1.12959821810589	7.57391771227039e-05	0.751715695980259	0.248208564842618
ENST00000274813.3	MUT	6	12	49399440	49427179	2253	6.67547929724e-06	2.0352243243e-05	2.01692997451e-06	87	256	27	79.8198259856	233.297624726	27.7439600079	-0.498228739300454	-0.726997790879587	0.139912026642425	5.92436972896757e-18	0.00645800866024609	0.993541991339754
ENST00000503581.1	EYS	6	40	64430491	66205303	9435	2.92337444674e-05	7.47003256693e-05	5.93722213951e-06	87	222	14	59.8182646702	153.46673765	16.6754802045	-2.17876224107402	-2.70589548849874	0.649011333823918	8.21411418968935e-09	0.2750076762546	0.724992315531286
ENST00000369977.3	MYO6	6	34	76527264	76624729	3858	1.21444582116e-05	3.54255843029e-05	4.36475621306e-06	146	362	16	147.812290944	403.937277487	61.096273693	0.0924111181212349	1.02061024328937	5.71508871465485	0.0177883990936548	0.982211600378647	5.27698444208756e-10
ENST00000421865.2	LAMA2	6	65	129204390	129837492	9369	3.68677629927e-05	9.00408529165e-05	8.65872395119e-06	457	1131	61	434.87599674	1027.67537553	122.935173414	-0.657703744028645	-1.57649982080654	5.53336070829469	1.1846527263111e-24	0.999999997723819	2.27618135802507e-09
ENST00000237289.4	TNFAIP3	6	8	138192364	138202456	2373	1.12569692147e-05	2.63462305518e-05	1.70571659967e-06	109	259	0	130.896594	301.8610249	22.67889571	1.18648429086054	1.20663317280487	4.71737809305109	0.999666684982313	0.000333314290102666	7.2758380374275e-10
ENST00000367651.2	CITED2	6	1	139694268	139695081	813	7.24340159466e-06	1.19743762995e-05	2.95881146917e-07	75	117	0	82.48835	136.0913172	3.77149092	0.511139301180273	0.8004546745507	1.92373935961328	0.706861723944729	0.277581096026204	0.0155571800290674
ENST00000367519.3	EPM2A	6	4	145948551	146056634	996	6.78082703664e-06	1.39007150714e-05	6.38623575142e-07	52	97	7	47.7058957635	105.822365304	7.44050897119	-0.385421164438393	0.419483043478885	0.159971697545114	3.58971451329325e-05	0.368559658109774	0.631404444745093
ENST00000346085.5	ARID1B	6	20	157099063	157529025	6750	5.04259973877e-05	8.69444493551e-05	4.646352858e-06	346	555	6	397.132019453	744.351348298	54.2042840548	1.59065067400404	3.39465595575973	6.48572503602533	0.999949930200412	5.00697995874118e-05	4.93048584287307e-16
ENST00000360961.6	MPC1	6	5	166778916	166796364	330	1.86204707237e-06	4.23143263112e-06	3.84963261795e-07	14	30	2	19.874402969	44.0167159805	5.61529023442	0.816894498118055	1.03336567944772	1.51128634784949	0.145968077163696	0.778420165138115	0.0756117576981895
ENST00000441542.2	HDAC9	7	25	18535925	19035685	3210	1.21621729909e-05	2.95663572039e-05	3.32665564414e-06	150	260	5	124.107867457	290.623357125	40.4865436757	-1.44084420211918	0.878627048348487	5.52456418907479	0.998375125074442	0.0016248749138385	1.17196112074122e-11
ENST00000381083.4	IGFBP3	7	4	45954418	45960739	894	8.65922610735e-06	1.56435102315e-05	6.45676360299e-07	28	53	1	26.873896	64.1358215	4.3917177	-0.134666960849308	0.680124347281926	1.60321652092499	0.362251902433295	0.58683504376315	0.0509130538035548
ENST00000395471.3	PSPH	7	5	56079454	56088905	678	2.85372167363e-06	6.49254335825e-06	5.46299107362e-07	29	70	1	33.8747255741	74.1509523412	8.10347431139	0.519232767390986	0.235779285062898	2.47186570062885	0.709723367299492	0.286885226936162	0.0033914057643462
ENST00000252034.7	ELN	7	33	73442517	73483030	2175	1.39645252938e-05	2.46596461101e-05	2.2765306433e-06	163	269	15	160.039834555	275.37103443	37.7487189392	-0.145062953229676	0.18778673267151	3.66771507765061	1.51996287413625e-05	0.999915497445724	6.9302925534003e-05
ENST00000265728.1	DBF4	7	12	87506047	87537478	2025	5.83459436522e-06	1.45220855032e-05	1.62253897437e-06	78	168	1	69.3229235497	165.306268105	22.5274082116	-0.646077427690197	-0.102475717442972	4.4928905561838	0.998167681555921	0.00183230907329019	9.37078901538344e-09
ENST00000356860.3	CACNA2D1	7	39	81579707	82072775	3276	1.21819740244e-05	2.810520363e-05	4.00067542272e-06	136	199	5	142.45330488	310.629469401	56.4244387731	0.335193098633498	3.09794768094555	6.78149792555982	0.999995804404225	4.19559577516183e-06	5.8064753547162e-18
ENST00000200457.4	TRIP6	7	9	100465119	100470925	1431	9.64783934128e-06	1.85592348789e-05	1.22019923264e-06	97	183	3	99.445801724	192.164999495	16.2684205015	0.152046759493372	0.323378974858018	3.25863887323503	0.659398351134913	0.340367624743684	0.000234024121403702
ENST00000306312.3	SLC26A5	7	18	103014845	103061961	2235	8.93598249731e-06	1.98642858601e-05	1.82752575894e-06	88	238	10	107.480074124	229.733881674	27.7527197634	1.16486771981056	-0.26675006663058	3.3381189726849	0.00137555507026871	0.998308808997194	0.000315635932537363
ENST00000284601.3	PPP1R3A	7	4	113517777	113559051	3369	1.03731707834e-05	2.6173935885e-05	2.08695796352e-06	129	359	14	118.683025651	297.160869632	25.0253434235	-0.587095350834811	-1.75462291483133	2.18319137003277	6.58740989250831e-07	0.971097301661024	0.0289020395979871
ENST00000357628.3	POT1	7	15	124464015	124537227	1905	6.61833110603e-06	1.5715263605e-05	1.58519354907e-06	78	145	5	78.8600704078	179.181574364	23.562311447	0.0600419346023412	1.24899913195522	3.78802497078045	0.522727216703268	0.477242315835056	3.04674616760716e-05
ENST00000265388.5	TNPO3	7	22	128597308	128694824	2772	1.05033779801e-05	2.75699444869e-05	3.24936179513e-06	115	181	14	126.252460125	317.740282699	45.4156410832	0.620838289289144	3.7521211368693	4.61777583023673	0.00138920147813071	0.99861027646799	5.22053879292922e-07
ENST00000311322.8	LPL	8	10	19796951	19822821	1428	6.36797111366e-06	1.42955759504e-05	1.19505597596e-06	90	180	11	72.9233556072	160.479199579	16.6780708319	-1.23970553060351	-0.753710803304999	1.37726540773649	3.33727737763241e-06	0.792834693752327	0.207161968970295
ENST00000298139.5	WRN	8	34	30915963	31030618	4299	1.44270962658e-05	3.69062576423e-05	4.07236666698e-06	187	490	35	175.408837152	426.298323915	58.903487241	-0.542565489389231	-1.50907451467772	3.08517968187954	1.96078222210392e-16	0.996075112619985	0.00392488738001482
ENST00000342228.3	SLC20A2	8	10	42275320	42329908	1959	1.29817411556e-05	2.40525773322e-05	1.41579439035e-06	135	167	3	147.003240648	268.504378636	19.45398563	0.61373812905574	3.02988120068172	3.69535850023047	0.864429580346683	0.135553573600494	1.68460528231753e-05
ENST00000297316.4	SOX17	8	2	55370698	55372555	1245	1.52853329378e-05	2.38991858698e-05	6.86370629758e-07	77	103	0	125.459441386	196.087879124	6.3207411075	2.68210598059921	3.25150410642779	2.49042627886612	0.866918773398146	0.131210614752515	0.00187061184933919
ENST00000419880.3	UBE2W	8	7	74706336	74791144	576	2.12917941607e-06	6.04112615996e-06	1.01147696978e-06	17	26	0	16.7040067424	42.2104460118	9.42064413831	-0.0448968758469837	1.22039818813149	3.04039485595624	0.954557960872144	0.0453197592782473	0.000122279849608767
ENST00000220751.4	RIPK2	8	11	90770288	90802644	1623	5.87081165968e-06	1.46435917043e-05	1.38281454662e-06	57	115	4	63.9215028614	156.99871275	19.492921389	0.536693346713997	1.63947330597015	3.47603792574824	0.554263285932167	0.445619578169749	0.000117135898084473
ENST00000353107.3	POLR2K	8	3	101163583	101165544	177	6.04170698811e-07	1.62840813779e-06	2.37485117955e-07	7	15	3	7.82879395175	18.9396425566	3.82551067459	0.183632109342262	0.442779135810927	0.418088031335074	0.0117782524449014	0.638167983557482	0.350053763997616
ENST00000520539.1	UBR5	8	59	103266529	103424462	8400	2.81852670244e-05	7.91131647426e-05	9.19571174351e-06	336	491	1	330.014931458	889.456786791	124.702481175	-0.204246288217252	6.53484551830837	10.9731307923611	1	4.65471298714032e-20	3.53016124564021e-49
ENST00000297347.3	MED30	8	4	118533115	118552217	537	2.97044539325e-06	6.59839297447e-06	5.62918212342e-07	27	46	1	30.7866196221	66.7992558903	6.89847957665	0.423077723115691	1.24473966607751	2.22460587128684	0.606541510277703	0.384770925387378	0.00868756433491867
ENST00000389328.4	TRAPPC9	8	23	140743303	141468663	3741	2.33749478086e-05	4.8340289422e-05	3.06019482181e-06	236	414	16	239.721865402	487.907755443	39.5636989345	0.149025397697072	1.6365821789657	3.71094708190881	5.76038953455576e-06	0.999937759228747	5.64803817187735e-05
ENST00000426825.1	OPLAH	8	27	145106226	145114935	3867	3.02435978996e-05	6.15187752184e-05	2.95900132729e-06	267	535	22	266.146274565	536.088973977	33.801642665	-0.0324410195471006	0.0230051942166149	2.01077385284786	2.99003379437065e-11	0.887670230594218	0.112329769375881
ENST00000449498.1	IFNA13	9	1	21367436	21368009	573	1.87594576358e-06	4.24576590535e-06	3.00774203977e-07	1	12	0	21.67396	48.52451	3.82693076	2.75298609498055	2.56460366183657	1.93782702740764	0.711459503244693	0.273653323168301	0.0148871735870057
ENST00000379731.4	B4GALT1	9	6	33113451	33167167	1197	7.69987175835e-06	1.60665754325e-05	7.03434796277e-07	62	115	2	74.9016986306	159.680018379	9.96955122674	0.924167324168212	1.72943520433599	2.50026336979993	0.486324787710792	0.508905105119333	0.00477010716987471
ENST00000378643.3	FANCG	9	14	35074104	35079521	1869	7.33672771603e-06	1.75578889612e-05	1.60068127717e-06	88	191	16	87.552447388	202.056786911	23.3038204122	-0.0296521969221667	0.380460158176833	1.49873983103871	9.75294817310612e-09	0.740774929814062	0.259225060432989
ENST00000375147.3	NCBP1	9	23	100396163	100433481	2373	8.33127263726e-06	2.24202459709e-05	2.46177757082e-06	88	140	2	100.407675889	255.774028441	36.9191043125	0.767639338783464	3.54078289904774	5.69281688797566	0.99995610858717	4.38914126165233e-05	2.13402856698178e-13
ENST00000210313.3	PSMD5	9	10	123580183	123605187	1515	6.30597192556e-06	1.46165532733e-05	1.04072076041e-06	67	179	10	70.9056197232	162.299780478	15.7082186293	0.28754057871591	-0.641178713840486	1.42668086839382	1.26579691239429e-05	0.830792821455133	0.169194520575743
ENST00000373818.4	GSN	9	17	124062139	124094881	2349	1.56088056407e-05	3.15434618167e-05	1.8237928122e-06	142	255	13	157.708610654	318.743085203	24.7935684367	0.775459842557906	1.74634204226242	2.3462019681536	3.18617651517055e-06	0.984630361052357	0.0153664527711276
ENST00000259324.5	LRRC8A	9	2	131669443	131678650	2433	1.65228185102e-05	3.3707887386e-05	9.91948928671e-07	178	202	1	188.04513	382.7555317	12.07718054	0.45412219850653	4.51905106237653	3.15744736388763	0.916104676238055	0.0837780854423358	0.000117238319609253
ENST00000351698.4	TOR1A	9	5	132576250	132586364	999	5.61523648951e-06	1.10117912877e-05	7.6807685117e-07	51	94	3	59.5637120745	115.48668721	10.2504196417	0.687892329470264	0.97795799315811	2.24327229940483	0.16704849102676	0.818697702344535	0.0142538066287046
ENST00000372394.1	ASS1	9	14	133327615	133376408	1239	7.04279415468e-06	1.50095156001e-05	1.34994118951e-06	83	154	9	83.8725329114	172.245562997	20.6164283864	0.0590636061243778	0.679986971715517	2.5342858535698	0.000493337976371257	0.992797603934801	0.00670905808882754
ENST00000372190.3	RAPGEF1	9	24	134454883	134585070	3288	1.89781737381e-05	3.76989113067e-05	2.99126579262e-06	187	279	3	203.270657782	396.030455086	39.5532654099	0.7074867660642	2.8764125934903	5.75737771356179	0.999914749689066	8.5250310716412e-05	2.17573889204483e-13
ENST00000460843.1	EHMT1	9	27	140513480	140729405	3897	2.83235848572e-05	5.19314305546e-05	3.57571682103e-06	308	455	1	313.686786642	570.260687298	48.8875644963	0.199053269784746	2.36080958100023	6.78442809128952	0.99999990401202	9.59879795724989e-08	3.4944631440694e-19
ENST00000379977.3	IL15RA	10	7	5995057	6019455	804	5.70248414241e-06	1.07353405044e-05	4.92568056555e-07	43	96	10	49.5752137959	89.0941470868	7.23907104482	0.578930996868814	-0.35785657027922	-1.01649083214291	3.17110849041528e-08	0.049425460355515	0.9505745079334
ENST00000378076.3	ITGA8	10	30	15559156	15761770	3192	1.47058872626e-05	3.16678945319e-05	3.35330556633e-06	166	398	21	166.554314097	350.174081144	48.9285015088	0.0266266454369921	-1.25007936161488	3.95508961129069	5.01886012783355e-08	0.99998257224115	1.73775702491115e-05
ENST00000376087.4	ANKRD26	10	34	27294518	27389255	5133	1.65197605814e-05	3.99777007996e-05	4.26557178365e-06	190	542	33	195.408424585	453.010223853	59.6681640626	0.239853787580714	-2.04504420678092	3.41988438795223	7.08727863800569e-15	0.999440089149152	0.000559910850840408
