gene	transcript	mane_select	lof_hc_lc.obs	lof_hc_lc.exp	lof_hc_lc.possible	lof_hc_lc.oe	lof_hc_lc.mu	lof_hc_lc.pLI	lof_hc_lc.pNull	lof_hc_lc.pRec	lof.obs	lof.exp	lof.possible	lof.oe	lof.mu	lof.pLI	lof.pNull	lof.pRec	lof.oe_ci.lower	lof.oe_ci.upper	lof.z_raw	lof.z_score	mis.obs	mis.exp	mis.possible	mis.oe	mis.mu	mis.oe_ci.lower	mis.oe_ci.upper	mis.z_raw	mis.z_score	mis_pphen.obs	mis_pphen.exp	mis_pphen.possible	mis_pphen.oe	syn.obs	syn.exp	syn.possible	syn.oe	syn.mu	syn.oe_ci.lower	syn.oe_ci.upper	syn.z_raw	syn.z_score	constraint_flags
ACTR3	ENST00000263238	true	9	3.4068e+01	184	2.6418e-01	6.3229e-07	9.9466e-01	1.5309e-06	5.3383e-03	9	3.4068e+01	184	2.6418e-01	6.3229e-07	9.9489e-01	1.3957e-06	5.1054e-03	1.5800e-01	4.6100e-01	4.2949e+00	3.6350e+00	206	3.6942e+02	1886	5.5764e-01	3.3493e-06	4.9700e-01	6.2600e-01	8.5023e+00	3.1040e+00	64	1.5618e+02	790	4.0979e-01	126	1.2275e+02	540	1.0265e+00	1.0507e-06	8.8700e-01	1.1900e+00	-2.9343e-01	-1.6001e-01	[]
ACTR3	ENST00000415792	false	0	2.0507e+00	11	0.0000e+00	2.5176e-08	5.3754e-01	6.1388e-02	4.0107e-01	0	3.4605e-01	3	0.0000e+00	5.3070e-09	3.2547e-01	1.3093e-01	5.4360e-01	0.0000e+00	1.8590e+00	5.8826e-01	4.9788e-01	12	1.0427e+01	45	1.1508e+00	1.9437e-07	7.3300e-01	1.7730e+00	-4.8702e-01	-1.7780e-01	0	6.4559e-01	5	0.0000e+00	4	4.2167e+00	18	9.4861e-01	7.5299e-08	4.5500e-01	1.8070e+00	1.0554e-01	5.7549e-02	[]
ACTR3	ENST00000443297	false	1	5.3061e+00	32	1.8846e-01	7.7311e-08	6.4803e-01	2.7051e-02	3.2491e-01	0	4.2893e+00	26	0.0000e+00	5.9835e-08	7.9930e-01	1.4099e-02	1.8660e-01	0.0000e+00	6.9700e-01	2.0711e+00	1.7529e+00	29	5.4572e+01	299	5.3141e-01	5.4719e-07	3.9500e-01	7.2500e-01	3.4616e+00	1.2638e+00	5	2.0516e+01	120	2.4371e-01	16	1.5559e+01	70	1.0283e+00	1.2668e-07	6.9500e-01	1.5550e+00	-1.1172e-01	-6.0923e-02	[]
ACTR3	ENST00000446821	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	1.2830e+01	59	1.0912e+00	2.4487e-07	7.1900e-01	1.6760e+00	-3.2650e-01	-1.1920e-01	1	2.2429e+00	14	4.4584e-01	4	5.0553e+00	20	7.9125e-01	9.1686e-08	3.8600e-01	1.6750e+00	4.6935e-01	2.5594e-01	["no_exp_lof"]
ACTR3	ENST00000535589	false	9	3.2408e+01	173	2.7771e-01	6.3953e-07	9.8786e-01	5.6703e-06	1.2137e-02	8	3.1539e+01	168	2.5366e-01	6.2449e-07	9.9471e-01	2.1471e-06	5.2880e-03	1.4800e-01	4.5800e-01	4.1914e+00	3.5475e+00	188	3.3617e+02	1722	5.5925e-01	3.1342e-06	4.9600e-01	6.3100e-01	8.0811e+00	2.9502e+00	61	1.5151e+02	765	4.0260e-01	118	1.1239e+02	490	1.0499e+00	9.7543e-07	9.0300e-01	1.2230e+00	-5.2942e-01	-2.8870e-01	[]
ACTR3	NM_001277140.1	false	9	3.2408e+01	173	2.7771e-01	6.3953e-07	9.8786e-01	5.6703e-06	1.2137e-02	8	3.1539e+01	168	2.5366e-01	6.2449e-07	9.9471e-01	2.1471e-06	5.2880e-03	1.4800e-01	4.5800e-01	4.1914e+00	3.5475e+00	188	3.3617e+02	1722	5.5925e-01	3.1342e-06	4.9600e-01	6.3100e-01	8.0811e+00	2.9502e+00	61	1.5151e+02	765	4.0260e-01	118	1.1239e+02	490	1.0499e+00	9.7543e-07	9.0300e-01	1.2230e+00	-5.2942e-01	-2.8870e-01	[]
ACTR3	NM_005721.5	true	9	3.4068e+01	184	2.6418e-01	6.3229e-07	9.9466e-01	1.5309e-06	5.3383e-03	9	3.4068e+01	184	2.6418e-01	6.3229e-07	9.9489e-01	1.3957e-06	5.1054e-03	1.5800e-01	4.6100e-01	4.2949e+00	3.6350e+00	206	3.6942e+02	1886	5.5764e-01	3.3493e-06	4.9700e-01	6.2600e-01	8.5023e+00	3.1040e+00	64	1.5618e+02	790	4.0979e-01	126	1.2275e+02	540	1.0265e+00	1.0507e-06	8.8700e-01	1.1900e+00	-2.9343e-01	-1.6001e-01	[]
ADAM10	ENST00000260408	true	15	8.3712e+01	453	1.7919e-01	1.2056e-06	1.0000e+00	1.5644e-19	1.4732e-10	15	8.3712e+01	453	1.7919e-01	1.2056e-06	1.0000e+00	1.4259e-19	1.4086e-10	1.1900e-01	2.7600e-01	7.5100e+00	6.3562e+00	595	9.2001e+02	4747	6.4673e-01	5.3406e-06	6.0400e-01	6.9200e-01	1.0715e+01	3.9118e+00	83	2.6252e+02	1389	3.1616e-01	303	3.0522e+02	1300	9.9271e-01	1.7264e-06	9.0300e-01	1.0920e+00	1.2734e-01	6.9438e-02	[]
ADAM10	ENST00000396136	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53	6.8593e+01	350	7.7267e-01	9.6315e-07	6.1900e-01	9.7100e-01	1.8827e+00	6.8734e-01	17	2.8576e+01	158	5.9489e-01	19	2.2420e+01	99	8.4745e-01	1.7822e-07	5.9000e-01	1.2430e+00	7.2235e-01	3.9391e-01	["no_exp_lof"]
ADAM10	ENST00000402627	false	6	1.1577e+01	63	5.1827e-01	2.5645e-07	8.4141e-02	6.3985e-02	8.5187e-01	6	1.1577e+01	63	5.1827e-01	2.5645e-07	8.7924e-02	6.0944e-02	8.5113e-01	2.8300e-01	1.0230e+00	1.6391e+00	1.3873e+00	78	7.7817e+01	400	1.0024e+00	1.0429e-06	8.3400e-01	1.2100e+00	-2.0776e-02	-7.5846e-03	10	3.1225e+01	149	3.2025e-01	36	2.7331e+01	127	1.3172e+00	3.9717e-07	1.0080e+00	1.7280e+00	-1.6583e+00	-9.0430e-01	[]
ADAM10	ENST00000439637	false	3	1.4261e+01	82	2.1036e-01	3.1516e-07	9.3662e-01	7.5194e-04	6.2628e-02	3	1.4261e+01	82	2.1036e-01	3.1516e-07	9.3926e-01	6.8732e-04	6.0050e-02	9.5000e-02	5.4400e-01	2.9820e+00	2.5238e+00	140	1.4184e+02	734	9.8701e-01	2.1647e-06	8.5900e-01	1.1360e+00	1.5474e-01	5.6490e-02	47	6.3248e+01	313	7.4311e-01	56	5.2834e+01	204	1.0599e+00	6.5418e-07	8.5400e-01	1.3240e+00	-4.3552e-01	-2.3750e-01	[]
ADAM10	ENST00000461408	false	0	6.2603e-01	6	0.0000e+00	9.2177e-09	3.4813e-01	1.2305e-01	5.2882e-01	0	6.2603e-01	6	0.0000e+00	9.2177e-09	3.6041e-01	1.1612e-01	5.2347e-01	0.0000e+00	1.8120e+00	7.9122e-01	6.6967e-01	31	1.3421e+01	69	2.3099e+00	2.0750e-07	1.5030e+00	1.9860e+00	-4.7986e+00	-1.7518e+00	4	1.7317e+00	6	2.3099e+00	15	7.0067e+00	26	2.1408e+00	1.0703e-07	1.2390e+00	1.9750e+00	-3.0197e+00	-1.6467e+00	[]
ADAM10	ENST00000558004	false	1	7.5161e+00	49	1.3305e-01	8.2937e-08	8.5203e-01	6.1649e-03	1.4181e-01	1	7.5161e+00	49	1.3305e-01	8.2937e-08	8.5783e-01	5.6576e-03	1.3651e-01	4.6000e-02	6.3100e-01	2.3768e+00	2.0116e+00	87	7.6871e+01	394	1.1318e+00	1.0592e-06	9.5100e-01	1.3530e+00	-1.1553e+00	-4.2177e-01	27	4.0180e+01	202	6.7197e-01	35	2.9915e+01	109	1.1700e+00	2.6032e-07	8.9300e-01	1.5500e+00	-9.2978e-01	-5.0702e-01	[]
ADAM10	ENST00000559053	false	5	1.5027e+01	91	3.3274e-01	2.7791e-07	6.4892e-01	6.6249e-03	3.4446e-01	5	1.5027e+01	91	3.3274e-01	2.7791e-07	6.5926e-01	6.1348e-03	3.3460e-01	1.7300e-01	7.0000e-01	2.5866e+00	2.1892e+00	97	1.7344e+02	920	5.5928e-01	1.0879e-06	4.7400e-01	6.6200e-01	5.8041e+00	2.1189e+00	19	8.1896e+01	417	2.3200e-01	67	6.0395e+01	268	1.1094e+00	5.7370e-07	9.1000e-01	1.3600e+00	-8.4991e-01	-4.6347e-01	[]
ADAM10	ENST00000561288	false	2	2.9914e+00	22	6.6857e-01	4.4303e-08	1.3001e-01	1.6434e-01	7.0565e-01	2	2.9914e+00	22	6.6857e-01	4.4303e-08	1.3620e-01	1.5693e-01	7.0687e-01	2.6500e-01	1.7340e+00	5.7323e-01	4.8516e-01	64	3.6629e+01	193	1.7472e+00	5.2566e-07	1.4130e+00	1.9600e+00	-4.5224e+00	-1.6510e+00	4	1.7317e+00	6	2.3099e+00	21	1.4674e+01	65	1.4311e+00	1.8815e-07	1.0060e+00	1.8900e+00	-1.6515e+00	-9.0056e-01	[]
ADAM10	NM_001110.4	true	15	8.3712e+01	453	1.7919e-01	1.2056e-06	1.0000e+00	1.5644e-19	1.4732e-10	15	8.3712e+01	453	1.7919e-01	1.2056e-06	1.0000e+00	1.4259e-19	1.4086e-10	1.1900e-01	2.7600e-01	7.5100e+00	6.3562e+00	595	9.2001e+02	4747	6.4673e-01	5.3406e-06	6.0400e-01	6.9200e-01	1.0715e+01	3.9118e+00	83	2.6252e+02	1389	3.1616e-01	303	3.0522e+02	1300	9.9271e-01	1.7264e-06	9.0300e-01	1.0920e+00	1.2734e-01	6.9438e-02	[]
ADAM10	NM_001320570.2	false	15	8.1597e+01	442	1.8383e-01	1.1872e-06	1.0000e+00	8.3689e-19	4.2323e-10	15	8.1597e+01	442	1.8383e-01	1.1872e-06	1.0000e+00	7.6282e-19	4.0467e-10	1.2200e-01	2.8300e-01	7.3726e+00	6.2399e+00	566	8.8428e+02	4583	6.4007e-01	5.0236e-06	5.9700e-01	6.8600e-01	1.0703e+01	3.9075e+00	121	3.5413e+02	1849	3.4168e-01	293	2.9342e+02	1254	9.9858e-01	1.4832e-06	9.0700e-01	1.1000e+00	2.4409e-02	1.3310e-02	[]
ADAM10	XM_024449818.1	false	13	7.7538e+01	413	1.6766e-01	1.1035e-06	1.0000e+00	8.9689e-19	2.7586e-10	13	7.4028e+01	397	1.7561e-01	1.0400e-06	1.0000e+00	1.3223e-17	1.5201e-09	1.1300e-01	2.7900e-01	7.0930e+00	6.0033e+00	503	8.3428e+02	4309	6.0292e-01	2.4560e-06	5.6000e-01	6.4900e-01	1.1469e+01	4.1872e+00	NA	NA	NA	NA	265	2.7251e+02	1180	9.7243e-01	1.6733e-06	8.7900e-01	1.0770e+00	4.5505e-01	2.4814e-01	[]
ADAT3	ENST00000329478	true	27	1.3439e+01	53	2.0090e+00	1.3756e-07	2.4493e-14	9.8485e-01	1.5148e-02	7	4.7401e+00	17	1.4768e+00	6.5527e-08	5.6836e-04	4.3059e-01	5.6884e-01	7.8500e-01	1.9290e+00	-1.0380e+00	-8.7854e-01	735	4.5032e+02	1724	1.6322e+00	5.2239e-06	1.5360e+00	1.7350e+00	-1.3415e+01	-4.8974e+00	173	1.0117e+02	429	1.7100e+00	358	2.1681e+02	630	1.6512e+00	1.7063e-06	1.5140e+00	1.8020e+00	-9.5884e+00	-5.2287e+00	["outlier_mis","outlier_syn"]
ADAT3	ENST00000454697	false	8	2.8366e+00	12	2.8203e+00	5.1017e-08	3.6501e-05	6.6308e-01	3.3689e-01	5	1.6076e+00	8	3.1102e+00	2.7716e-08	1.2485e-03	4.8595e-01	5.1280e-01	9.6900e-01	1.9700e+00	-2.6756e+00	-2.2645e+00	114	6.5327e+01	285	1.7451e+00	1.1126e-06	1.4930e+00	1.9520e+00	-6.0220e+00	-2.1985e+00	11	4.8058e+00	26	2.2889e+00	53	3.3714e+01	94	1.5721e+00	4.6573e-07	1.2560e+00	1.9020e+00	-3.3216e+00	-1.8113e+00	[]
ADAT3	NM_001329533.2	false	27	1.3271e+01	54	2.0344e+00	1.3848e-07	2.1457e-14	9.8557e-01	1.4429e-02	7	4.7401e+00	17	1.4768e+00	6.5527e-08	5.6836e-04	4.3059e-01	5.6884e-01	7.8500e-01	1.9290e+00	-1.0380e+00	-8.7854e-01	713	4.3502e+02	1659	1.6390e+00	4.9821e-06	1.5410e+00	1.7440e+00	-1.3328e+01	-4.8657e+00	190	1.1399e+02	476	1.6668e+00	346	2.1019e+02	608	1.6461e+00	1.6991e-06	1.5070e+00	1.7990e+00	-9.3674e+00	-5.1082e+00	["outlier_mis","outlier_syn"]
ADAT3	NM_138422.4	true	27	1.3439e+01	53	2.0090e+00	1.3756e-07	2.4493e-14	9.8485e-01	1.5148e-02	7	4.7401e+00	17	1.4768e+00	6.5527e-08	5.6836e-04	4.3059e-01	5.6884e-01	7.8500e-01	1.9290e+00	-1.0380e+00	-8.7854e-01	735	4.5032e+02	1724	1.6322e+00	5.2239e-06	1.5360e+00	1.7350e+00	-1.3415e+01	-4.8974e+00	173	1.0117e+02	429	1.7100e+00	358	2.1681e+02	630	1.6512e+00	1.7063e-06	1.5140e+00	1.8020e+00	-9.5884e+00	-5.2287e+00	["outlier_mis","outlier_syn"]
ADNP	ENST00000349014	false	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.8968e-28	6.0806e-17	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.2864e-28	5.8140e-17	2.2000e-02	1.0600e-01	8.8494e+00	7.4899e+00	1118	1.3795e+03	7229	8.1041e-01	5.9763e-06	7.7100e-01	8.5100e-01	7.0416e+00	2.5707e+00	261	5.0918e+02	2757	5.1259e-01	551	4.9213e+02	2047	1.1196e+00	2.0015e-06	1.0430e+00	1.2010e+00	-2.6538e+00	-1.4471e+00	[]
ADNP	ENST00000371602	false	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.8968e-28	6.0806e-17	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.2864e-28	5.8140e-17	2.2000e-02	1.0600e-01	8.8494e+00	7.4899e+00	1118	1.3795e+03	7229	8.1041e-01	5.9763e-06	7.7100e-01	8.5100e-01	7.0416e+00	2.5707e+00	261	5.0918e+02	2757	5.1259e-01	551	4.9213e+02	2047	1.1196e+00	2.0015e-06	1.0430e+00	1.2010e+00	-2.6538e+00	-1.4471e+00	[]
ADNP	ENST00000396029	false	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.8968e-28	6.0806e-17	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.2864e-28	5.8140e-17	2.2000e-02	1.0600e-01	8.8494e+00	7.4899e+00	1118	1.3795e+03	7229	8.1041e-01	5.9763e-06	7.7100e-01	8.5100e-01	7.0416e+00	2.5707e+00	261	5.0918e+02	2757	5.1259e-01	551	4.9213e+02	2047	1.1196e+00	2.0015e-06	1.0430e+00	1.2010e+00	-2.6538e+00	-1.4471e+00	[]
ADNP	ENST00000396032	false	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.8968e-28	6.0806e-17	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.2864e-28	5.8140e-17	2.2000e-02	1.0600e-01	8.8494e+00	7.4899e+00	1118	1.3795e+03	7229	8.1041e-01	5.9763e-06	7.7100e-01	8.5100e-01	7.0416e+00	2.5707e+00	261	5.0918e+02	2757	5.1259e-01	551	4.9213e+02	2047	1.1196e+00	2.0015e-06	1.0430e+00	1.2010e+00	-2.6538e+00	-1.4471e+00	[]
ADNP	ENST00000621696	true	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.8968e-28	6.0806e-17	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.2864e-28	5.8140e-17	2.2000e-02	1.0600e-01	8.8494e+00	7.4899e+00	1118	1.3795e+03	7229	8.1041e-01	5.9763e-06	7.7100e-01	8.5100e-01	7.0416e+00	2.5707e+00	261	5.0918e+02	2757	5.1259e-01	551	4.9213e+02	2047	1.1196e+00	2.0015e-06	1.0430e+00	1.2010e+00	-2.6538e+00	-1.4471e+00	[]
ADNP	ENST00000644386	false	0	6.1827e+00	35	0.0000e+00	7.9489e-08	9.0972e-01	3.9225e-03	8.6353e-02	0	3.6467e+00	25	0.0000e+00	5.4652e-08	7.4015e-01	2.1732e-02	2.3812e-01	0.0000e+00	8.1700e-01	1.9096e+00	1.6163e+00	29	6.5963e+01	363	4.3964e-01	7.6836e-07	3.2600e-01	5.9900e-01	4.5511e+00	1.6615e+00	20	4.7419e+01	249	4.2177e-01	18	2.4950e+01	103	7.2145e-01	3.2368e-07	4.9800e-01	1.0700e+00	1.3914e+00	7.5873e-01	[]
ADNP	ENST00000645081	false	4	6.9131e+01	380	5.7861e-02	7.9969e-07	1.0000e+00	4.9149e-22	2.9302e-13	4	6.6561e+01	368	6.0096e-02	7.5338e-07	1.0000e+00	3.4406e-21	1.0105e-12	2.9000e-02	1.3800e-01	7.6682e+00	6.4901e+00	968	1.1022e+03	5766	8.7827e-01	4.1493e-06	8.3200e-01	9.2600e-01	4.0414e+00	1.4754e+00	200	3.6197e+02	1949	5.5254e-01	466	3.9619e+02	1658	1.1762e+00	1.3681e-06	1.0890e+00	1.2700e+00	-3.5072e+00	-1.9125e+00	[]
ADNP	ENST00000673732	false	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.8968e-28	6.0806e-17	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.2864e-28	5.8140e-17	2.2000e-02	1.0600e-01	8.8494e+00	7.4899e+00	1121	1.3831e+03	7244	8.1048e-01	6.4500e-06	7.7100e-01	8.5100e-01	7.0483e+00	2.5732e+00	163	4.1388e+02	2295	3.9384e-01	551	4.9257e+02	2050	1.1186e+00	2.0015e-06	1.0420e+00	1.2000e+00	-2.6327e+00	-1.4356e+00	[]
ADNP	NM_001282531.3	true	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.8968e-28	6.0806e-17	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.2864e-28	5.8140e-17	2.2000e-02	1.0600e-01	8.8494e+00	7.4899e+00	1118	1.3795e+03	7229	8.1041e-01	5.9763e-06	7.7100e-01	8.5100e-01	7.0416e+00	2.5707e+00	261	5.0918e+02	2757	5.1259e-01	551	4.9213e+02	2047	1.1196e+00	2.0015e-06	1.0430e+00	1.2010e+00	-2.6538e+00	-1.4471e+00	[]
ADNP	NM_001282532.2	false	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.8968e-28	6.0806e-17	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.2864e-28	5.8140e-17	2.2000e-02	1.0600e-01	8.8494e+00	7.4899e+00	1118	1.3795e+03	7229	8.1041e-01	5.9763e-06	7.7100e-01	8.5100e-01	7.0416e+00	2.5707e+00	261	5.0918e+02	2757	5.1259e-01	551	4.9213e+02	2047	1.1196e+00	2.0015e-06	1.0430e+00	1.2010e+00	-2.6538e+00	-1.4471e+00	[]
ADNP	NM_001347511.2	false	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.8968e-28	6.0806e-17	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.2864e-28	5.8140e-17	2.2000e-02	1.0600e-01	8.8494e+00	7.4899e+00	1118	1.3795e+03	7229	8.1041e-01	5.9763e-06	7.7100e-01	8.5100e-01	7.0416e+00	2.5707e+00	261	5.0918e+02	2757	5.1259e-01	551	4.9213e+02	2047	1.1196e+00	2.0015e-06	1.0430e+00	1.2010e+00	-2.6538e+00	-1.4471e+00	[]
ADNP	NM_015339.5	false	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.8968e-28	6.0806e-17	4	8.6126e+01	477	4.6444e-02	1.0002e-06	1.0000e+00	6.2864e-28	5.8140e-17	2.2000e-02	1.0600e-01	8.8494e+00	7.4899e+00	1118	1.3795e+03	7229	8.1041e-01	5.9763e-06	7.7100e-01	8.5100e-01	7.0416e+00	2.5707e+00	261	5.0918e+02	2757	5.1259e-01	551	4.9213e+02	2047	1.1196e+00	2.0015e-06	1.0430e+00	1.2010e+00	-2.6538e+00	-1.4471e+00	[]
